fecha,trader,activo,vn_compra,px_compra,monto_compra,vn_venta,px_venta,monto_venta,resultado,cliente,observacion
2026-07-13,Javier,D30S6,724332,146800,1063319376,724332,147100,1065492372,2172996,Cooperativas,Bautista
2026-07-13,Mariano,S13N6,2200000000,101.58,2234650000,2200000000,101.54,2233880000,-770000,ConoSur,Mesa
2026-07-13,Mariano,S13N6,1000000000,101.76,1017600000,1000000000,101.58,1015800000,-1800000,Cartera Propia,Mesa
2026-07-13,Mariano,S15S6,2601580497,101.1,2630197882.4699998,2601580497,101.11,2630406008.9099998,208126.44,ConoSur,Mesa
2026-07-13,Valentina,Dolar mep,75105,1518.34,114034576.48,75105,1524,114459669.48,425093,AL2,Mesa
2026-07-13,Valentina,tzxo6,744280183,165.61,1232565197.0599999,744280183,165.65,1232900123.1400001,334926.08000000002,Industrial,Mesa
2026-07-14,Mariano,tzxd7,475000000,268.39999999999998,1274900000,475000000,268.45,1275137500,237500,Industrial,Mesa
2026-07-14,Compartido,Dolar mep,5500000,1520.92,8365060000,5500000,1523,8376500000,11440000,ACA,Mesa
2026-07-14,Compartido,s13n6,3000000000,101.61,3048240000,3000000000,101.63,3048900000,660000,Schroder,Mesa
2026-07-14,Compartido,X31L6,216000000,116.47,251575200,216000000,116.75,252180000,604800,Schroder,Mesa
2026-07-14,Compartido,txmj9,1394968980,90.56,1263214159.8399999,1394968980,90.67,1264846273.55,1632113.71,Cartera Propia,Mesa
2026-07-14,Compartido,Dolar mep,244000,1512.25,368989000,244000,1515,369660000,671000,ACA,Mesa
2026-07-14,Javier,D31L6,2100000,146590.48000000001,3078399996,2100000,146700,3080700000,2300004,ACA,Mesa
2026-07-14,Javier,D31G6,2000000,146200,2924000000,2000000,146400,2928000000,4000000,ACA,Mesa
2026-07-14,Javier,tts26,320000000,163.15,522080000,320000000,163.25,522400000,320000,ACABIO,Mesa
2026-07-14,Javier,TZXO6,550000000,165.5,910250000,550000000,165.65,911075000,825000,ACABIO,Mesa
2026-07-14,Mariano,s13n6,511800000,101.62,520091160,511800000,101.6,520009272,-81888,Cartera Propia,Mesa
2026-07-14,Mariano,s15s6,2178419503,103.17,2247366480.27,2178419503,103.16,2247235775.0999999,-130705.17,Cartera Propia,Mesa
2026-07-14,Valentina,Dolar mep,42444,1500,63666000,42444,1510,64090440,424440,Cooperativas,Bautista
2026-07-15,Compartido,Dolar mep,500000,1513,756500000,500000,1517,758500000,2000000,ACA,Mesa
2026-07-15,Compartido,TXMJ9,1500000000,90.55,1358250000,1500000000,90.7,1360500000,2250000,Cartera Propia,Mesa
2026-07-15,Compartido,Dolar mep,2500000,1513.85,3784625000,2500000,1515.85,3789625000,5000000,ACA,Mesa
2026-07-15,Mariano,cacao,145347,141409.57,205534567.71000001,145347,142091,206525005.77000001,990438.06,Cooperativas,Bautista
2026-07-15,Mariano,s15s6,630000000,103.25,650475000,630000000,103.3,650783700,308700,Max,Mesa
2026-07-15,Mariano,s15s6,1000000000,103.23,1032299342.47,1000000000,103.3,1032990000,690657.53,Cartera Propia,Mesa
2026-07-16,Compartido,Dolar mep,2500000,1513.85,3784625000,2500000,1515.85,3789625000,5000000,ACA,Mesa
2026-07-16,Valentina,s13n6,850000000,101.72,864628500,850000000,101.77,865045000,416500,Lombard,Mesa
2026-07-16,Compartido,txmd9,331500133,84.92,281519857.94999999,331500133,85,281775113.05000001,255255.1,Cartera Propia,Mesa
2026-07-16,Compartido,Dolar mep,2500000,1513.7,3784250000,2500000,1515.85,3789625000,5375000,ACA,Mesa
2026-07-16,Valentina,txmj9,300000000,90.6,271800000,300000000,90.65,271950000,150000,Bavsa,Mesa
2026-07-16,Mariano,tts26,500000000,163.5,817500000,500000000,163.55000000000001,817750000,250000,Max,Mesa
2026-07-17,Compartido,Dolar mep,1930000,1513.7,2921441000,1930000,1515.85,2925590500,4149500,ACA,Mesa
