Fondo,Honorarios Adm. SG
Galileo Premium - Clase A,1.5
Galileo Premium - Clase B,1.25
Galileo Renta - Clase A,1.5
Galileo Renta - Clase B,0.65
GSS Cobertura - Clase A,0.775
GSS Cobertura - Clase B,1.25
GSS Renta Fija Argentina - Clase A,0.93
GSS Renta Fija Argentina - Clase B,1.5
IAM Estrategia - Clase E,0.62
IAM Renta Balanceada - Clase A,3.05
IAM Renta Balanceada - Clase B,2.61
IAM Renta Balanceada - Clase C,1.85
IAM Renta Balanceada - Clase D,0
IAM Renta Crecimiento - Clase A,2.48
IAM Renta Crecimiento - Clase B,2.07
IAM Renta Crecimiento - Clase C,2.07
IAM Renta Crecimiento - Clase D,1.92
Intervalores Ahorro - Clase A,2.5
Intervalores Ahorro - Clase B,2.25
Intervalores Ahorro - Clase C,2
Intervalores Ahorro - Clase D,1.2
Intervalores Ahorro - Clase Ley N° 27.743,2.5
IOL Portafolio Potenciado - Clase A,3.02
IOL Portafolio Potenciado - Clase B,3.02
IOL Portafolio Potenciado - Clase C,3
IOL Portafolio Potenciado - Clase Ley N° 27.743,3.02
Lombard Abierto Plus,2.24
MAF Ahorro,1.99
MAF Renta Argentina - Clase U,2.4
MAF Renta Argentina 2 - Clase A,0.81
MAF Renta Argentina 2 - Clase B,0.81
MAF Renta Fija Cobertura - Clase A,2.5
MAF Renta Fija Cobertura - Clase B,2.15
MAF Renta Fija Cobertura - Clase RAP Ley N° 27.743,0
Max Cobertura - Clase A,2.45
Max Cobertura - Clase B,2
Max Cobertura - Clase C,1.75
Max Cobertura - Clase D,1.25
Max Cobertura - Clase E Ley N° 27.743,2.45
Max Renta Fija - Clase A,2.45
Max Renta Fija - Clase B,2
Max Renta Fija - Clase C,1.75
Max Renta Fija - Clase D,1.25
Max Renta Fija - Clase E Ley N° 27.743,2.45
MEGAQM Cobertura - Clase A,3.2
MEGAQM Cobertura - Clase B,2.44
MEGAQM Estrategia 1 - Clase A,1.61
MEGAQM Estrategia 1 - Clase B,1.61
MEGAQM Estrategia 10 - Clase B,1.9
MEGAQM Estrategia 9 - Clase A,0
MEGAQM Estrategia 9 - Clase B,0
MEGAQM Estrategia 9 - Clase C,0
MEGAQM Estrategia 9 - Clase D,0
MEGAQM Latam Corporativo - Clase BP,0.85
MEGAQM Provincial - Clase A,3
MEGAQM Provincial - Clase B,1.879
Novus Estrategia - Clase A,3
Novus Estrategia - Clase B,2
Novus Estrategia - Clase C,3
Novus Estrategia - Clase D,2
Novus Estrategia - Clase E,3
Novus Estrategia - Clase F,2
Novus Estrategia - Clase G,3
Novus Estrategia - Clase H,2
Novus Estrategia - Clase I Ley N° 27.743,3
Novus Valor - Clase A,3
Novus Valor - Clase B,2.2
Novus Valor - Clase C,3
Novus Valor - Clase D,2.2
Novus Valor - Clase E,3
Novus Valor - Clase F,2.2
Novus Valor - Clase G,3
Novus Valor - Clase H,2.2
Numancia Dólares - Clase E,0
Numancia Dólares - Clase F,0
Numancia Dólares - Clase G,0
Numancia Dólares - Clase H,0
Numancia Pesos - Clase A,0.63
Numancia Pesos - Clase B,0.63
Numancia Pesos - Clase C,0.63
Optimum Balanced Strategy - Clase B,1.25
Optimum Renta Fija Estrategica - Clase A,0.07
Optimum Renta Fija Estrategica - Clase B,2.2411
Optimum Renta Mixta Flexible - Clase A,0
Optimum Renta Mixta Flexible - Clase B,0.55
Optimum Renta Mixta Flexible Argentina - Clase A,1.4
Optimum Renta Mixta Flexible Argentina - Clase B,1.4
Parakeet Dinámico II - Clase A,0.5
Parakeet Dinámico II - Clase B,0.5
Parakeet Dinámico II - Clase X Ley N°27.743,0.5
Parakeet Dinámico III - Clase A,0
Parakeet Dinámico III - Clase B,0
Parakeet Dinámico III - Clase X Ley N° 27.743,0
Parakeet Gestion Activa - Clase A,1.89
Parakeet Gestion Activa - Clase B,0
Parakeet Gestion Activa - Clase C,0
Parakeet Gestion Activa II - Clase A,0
Parakeet Gestion Activa II - Clase B,2
Parakeet Gestion Activa II - Clase C,0
Pellegrini Proteccion - Clase A,2.75
Pellegrini Proteccion - Clase B,2.375
Pellegrini Proteccion - Clase C,2.175
Pellegrini Proteccion - Clase R Ley N° 27.743,2.75
Pellegrini Renta Fija Ahorro - Clase A,2.375
Pellegrini Renta Fija Ahorro - Clase B,1.9
Pellegrini Renta Fija Plus - Clase A,2.375
Pellegrini Renta Fija Plus - Clase B,2
Pellegrini Renta Publica Federal - Clase A,2.375
Pellegrini Renta Publica Federal - Clase B,1.9
Pionero Desarrollo - Clase A,0.585
Pionero Desarrollo - Clase B,0.585
Pionero Desarrollo - Clase C,0
Pionero Performance - Clase B,0
Pionero Performance II - Clase B,0
Pionero Performance III - Clase B,0
Pionero Renta - Clase A,2.655
Pionero Renta - Clase B,2.16
Pionero Renta - Clase C,0
Premier Capital - Clase A,2.024
Premier Capital - Clase B,2.668
Premier Capital - Clase C,1.012
Premier Renta Mixta - Clase A,2.024
Premier Renta Mixta - Clase B,2.668
Premier Renta Mixta - Clase C,1.472
Premier Renta Plus en Pesos - Clase A,2.3
Premier Renta Plus en Pesos - Clase B,2.668
Premier Renta Plus en Pesos - Clase C,1.288
SBS Capital Plus - Clase A,3.5
SBS Capital Plus - Clase B,2.5
SBS Capital Plus - Clase Ley N° 27.743,3.5
SBS Estrategia - Clase A,3.5
SBS Estrategia - Clase B,2.5
SBS Estrategia - Clase Ley N° 27.743,3.5
SBS Patrimonio - Clase A,2.5
SBS Patrimonio - Clase B,0.9
SBS Patrimonio - Clase Ley N° 27.743,2.5
SBS Renta Capital - Clase A,2.5
SBS Renta Capital - Clase B,0.6
SBS Renta Capital - Clase Ley N° 27.743,2.5
SBS Renta Fija Total - Clase FPN,0.6
SBS Renta Fija Total - Clase JPN,0.6
SBS Renta Fija Total - Clase Ley N° 27.743,0.6
SBS Renta Pesos - Clase A,3.5
SBS Renta Pesos - Clase B,2.5
SBS Renta Pesos - Clase Ley N° 27.743,3.5
SBS Tavelli Renta - Clase P,2.02
Schroder Pesos - Clase A,2.5
Schroder Pesos - Clase B,0.5
Schroder Pesos - Clase C,2
Schroder Pesos - Clase D,0.65
Schroder Renta Fija - Clase A,0.65
Schroder Renta Fija - Clase B,0.65
Schroder Renta Fija - Clase C,0.65
Schroder Renta Global Cinco - Clase A,2.5
Schroder Renta Global Cinco - Clase B,2.5
Schroder Renta Global Cuatro - Clase B,0.47
Super Bonos - Clase A,0.7319
Super Bonos - Clase B,1.1179
Super Bonos - Clase F,0.496
Super Bonos - Clase H,1.4324
Super Bonos - Clase I,1.1074
Superfondo Renta $ - Clase A,0.7319
Superfondo Renta $ - Clase B,1.1179
Superfondo Renta $ - Clase E,0
Superfondo Renta $ - Clase F,0.371
Superfondo Renta $ - Clase H,1.4324
Superfondo Renta $ - Clase I,1.1074
Superfondo Renta $ - Clase J,0
Toronto Trust Renta Fija Plus - Clase A,3.0185
Toronto Trust Renta Fija Plus - Clase B,2.4185
Toronto Trust Renta Fija Plus - Clase C,2.7185
Toronto Trust Renta Fija Plus - Clase D,0.429
Toronto Trust Renta Fija Plus - Clase N° 27.743,3.0185
Toronto Trust Retorno Total - Clase A,2.858
Toronto Trust Retorno Total - Clase B,2.258
Toronto Trust Retorno Total - Clase C,2.558
Toronto Trust Retorno Total - Clase Ley N° 27.743,2.858
Ualintec Cobertura - Clase A,2.5
Ualintec Cobertura - Clase B,1.65
Ualintec Cobertura - Clase C,1.1
Valiant Cerrado de Créditos - Clase A,4
Valiant Renta Fija - Clase A,2.5
Valiant Renta Fija - Clase B,3.25
Valiant Renta Fija Balanceado I - Clase A,1.92
Valiant Renta Fija Balanceado I - Clase B,0
Valiant Renta Fija Balanceado II - Clase A,3.5
Valiant Renta Fija Balanceado II - Clase B,3.5
Zofingen Faro Fund - Clase A,2.25
Zofingen Faro Fund - Clase B,2
Zofingen Faro Fund - Clase C,1.75
Zofingen Renta Fija Dólar - Clase E,1
Zofingen Renta Fija Dólar - Clase F,1
Zofingen Renta Fija Dólar - Clase G,1
Zofingen Renta Fija Dólar - Clase H,1
Delta Multimercado II - Clase B,0
Delta Multimercado II - Clase E,0.35
Argenfunds Calificado I - Clase A,1
Argenfunds Calificado I - Clase B,1
Consultatio Crecimiento - Clase A,2.4
Consultatio Crecimiento - Clase B,2.4
Consultatio Crecimiento - Clase C,1.2
Consultatio Estrategia - Clase A,3.5
Consultatio Estrategia - Clase B,2.25
Consultatio Estrategia - Clase C,0.7
Consultatio Retorno Absoluto - Clase A,2.25
Consultatio Retorno Absoluto - Clase B,0.4732
Consultatio Retorno Absoluto - Clase C,0.4732
Max Estrategico II - Clase A,2.45
Max Estrategico II - Clase B,2
Max Estrategico II - Clase C,1.75
Max Estrategico II - Clase D,1.05
Valiant Renta Fija Dolares - Clase A,2.75
Valiant Renta Fija Dolares - Clase B,3.25
Compass Renta Fija II - Clase A,3.25
Compass Renta Fija II - Clase B,0.55
Compass Renta Fija II - Clase C,0.55
FBA Bonos Globales - Clase A,1.4
FBA Bonos Globales - Clase B,1
Adcap Balanceado IV - Clase A,0.37
Adcap Balanceado IV - Clase B,0.37
Adcap Balanceado IV - Clase C,0.39
Adcap Balanceado V - Clase A,1.02
Adcap Balanceado V - Clase B,1.02
Adcap Balanceado V - Clase C,0.6227
Adcap Balanceado V - Clase Ley Nº 27.743,0
Adcap Balanceado XI - Clase A,3
Adcap Balanceado XI - Clase B,2.9
Adcap Balanceado XI - Clase C,2.82
Adcap Renta Dólar - Clase A,1
Adcap Renta Dólar - Clase B,0.875
IOL Cash Management - Clase A,2.52
IOL Cash Management - Clase B,2.52
IOL Cash Management - Clase C,2.52
IOL Cash Management - Clase Ley Nº 27.743,5.02
Toronto Trust Liquidez Dólar - Clase F,1.929
Compass Renta Fija - Clase D,2.4
Compass Renta Fija - Clase E,1.35
Compass Renta Fija - Clase F,1.1
MEGAQM Renta Fija LATAM - Clase AP,1.1
MEGAQM Renta Fija LATAM - Clase BP,0.96
Renta Fija Dolar Estadounidense,nan
Adcap Balanceado I - Clase F,0.5
Alamerica Renta Fija Argentina - Clase D,2
Alamerica Renta Fija Argentina - Clase E,1.5
Alamerica Renta Fija Argentina - Clase F,0.45
Alamerica Renta Fija Argentina - Clase H,0.6
Alamerica Renta Fija Argentina - Clase J,2
Allaria Renta Dolar Ley 27260 - Clase A,0.6
Allaria Renta Dolar Ley 27260 - Clase B,1.5
Allaria Renta Dolar Ley 27260 - Clase C,3
Allaria Renta Dolar Ley 27260 - Clase D Ley N° 27.743,3
Alycbur Renta Dólar - Clase A,0
Alycbur Renta Dólar - Clase B,0
Alycbur Renta Dólar - Clase C,0
Alycbur Renta Dólar - Clase Ley N° 27.743,0
Argenfunds Ahorro Pesos - Clase C,2
Argenfunds Ahorro Pesos - Clase D,2
Argenfunds Ahorro Pesos - Clase E,0
Argenfunds Ahorro Pesos - Clase F,0
Argenfunds Renta Capital - Clase A,1
Argenfunds Renta Capital - Clase B,1
Argenfunds Renta Capital - Clase C,1.5
Argenfunds Renta Capital - Clase D,1
Argenfunds Renta Flexible - Clase C,2
Argenfunds Renta Flexible - Clase D,2
Cima Renta Dolares Corto Plazo - Clase B,0
Cocos Ahorro Dólares - Clase A,1.25
Cocos Ahorro Dólares - Clase B,2
Cocos Ahorro Dólares - Clase Ley N° 27.743,2
Cohen Disp. Transitorias Ley 27260 - Clase A,0.3
Cohen Disp. Transitorias Ley 27260 - Clase B,0.7
Cohen Disp. Transitorias Ley 27260 - Clase C,0.6
Cohen Disp. Transitorias Ley 27260 - Clase D,0.3
Compass Ahorro - Clase D,3
Compass Ahorro - Clase E,2.15
Compass Ahorro - Clase F,1.85
ConoSur Renta Fija Corporativa - Clase A,1.46
ConoSur Renta Fija Corporativa - Clase B,1.36
ConoSur Renta Fija Corporativa - Clase C,1.36
Consultatio Diamante Plus - Clase E,1.6
Consultatio Diamante Plus - Clase F,0.9
Consultatio Liquidez Ley 27260 - Clase A,0.4
Consultatio Liquidez Ley 27260 - Clase B,0.3
Consultatio Liquidez Ley 27260 - Clase C,0.3
Consultatio Liquidez Ley 27260 - Clase D,1
Delta Ahorro Dolares - Clase B,0.5
Delta Ahorro Plus - Clase F,3.5
Delta Ahorro Plus - Clase G,2.5
Delta Gestion IV - Clase G,0.55
Delta Patrimonio I - Clase F,2.8
Delta Patrimonio I - Clase G,2.3
Delta Renta Dólares Plus - Clase A,1.25
Delta Renta Dólares Plus - Clase B,0.9
Delta Renta Dólares Plus - Clase K Ley N° 27.743,1.25
Delta Renta Dólares Plus - Clase L Ley N° 27.743,0
FBA Renta Fija Dólar Latam I - Clase B,0.279
First Renta Dolares - Clase A,0.85
First Renta Dolares - Clase B,0.45
First Renta Dolares - Clase C,0.25
First Renta Dolares - Clase D,0.15
First Renta Dolares - Clase E,0
Gainvest Renta Fija - Clase D,1.8
Gainvest Renta Fija - Clase E,1.8
Gainvest Renta Fija - Clase F,1.8
Galileo Ahorro - Clase C,1.75
Galileo Ahorro - Clase D,1.25
IAM Renta Dólares - Clase A,1.25
IAM Renta Dólares - Clase B,0.8
IAM Renta Dólares - Clase C,0.8
IAM Renta Dólares - Clase D,0.8
IAM Renta Dólares - Clase F Art. 11 Decreto 99/2019 y mod,0
IAM Renta Dólares - Clase Ley Nº 27.743,1.25
IEB Ahorro Plus - Clase D,0
IEB Ahorro Plus - Clase E,0
IEB Ahorro Plus - Clase F,0
IOL Dólar Ahorro Plus - Clase C,0.92
IOL Dólar Ahorro Plus - Clase D,1.02
IOL Dólar Ahorro Plus - Clase E,1.02
IOL Dólar Ahorro Plus - Clase F,1.02
IOL Dólar Ahorro Plus - Clase Ley N° 27.743,1.02
MAF Ahorro Plus - Clase E,5
MAF Ahorro Plus - Clase F,2.16
MAF Pesos Plus - Clase D,2.08
MAF Pesos Plus - Clase E,2.08
MEGAQM Gestión Dólares 2 - Clase A,0
MEGAQM Gestión Dólares 2 - Clase B,1
MEGAQM Renta Dólares - Clase A,0.9
MEGAQM Renta Dólares - Clase B,0.5
MEGAQM Renta Dólares - Clase Ley N° 27.743,0.9
Optimum Renta Fija Dolares - Clase B,0.4
Optimum Renta Fija Dolares RP D.596 - Clase B,0.4
Parakeet Balanced Fund - Clase A,2.3
Parakeet Balanced Fund - Clase B,1.8
Parakeet Balanced Fund - Clase X Ley N° 27.743,2.3
Parakeet Global - Clase A,2
Parakeet Global - Clase B,1.5
Parakeet Global - Clase X Ley N° 27.743,2
Parakeet Income - Clase A,2
Parakeet Income - Clase B,1.5
Parakeet Income - Clase X Ley N° 27.743,2
Parakeet Latam - Clase A,0.9
Parakeet Latam - Clase B,0.7
Parakeet Latam - Clase X Ley N° 27.743,0.9
Pionero Ahorro Dolár Plus - Clase A,0.54
Pionero Ahorro Dolár Plus - Clase B,0.54
Pionero Ahorro Dolár Plus - Clase C Ley N° 27.743,0.54
Pionero Ahorro Dólares - Clase A,0.56
Pionero Ahorro Dólares - Clase B,0.47
Pionero Ahorro Dólares - Clase C Ley N° 27.743,0.38
Pionero Inversión Dólar - Clase A,0
Pionero Inversión Dólar - Clase B,0.72
Pionero Inversión Dólar - Clase C Ley N° 27.743,0
Pionero Renta Ahorro Plus - Clase D,1.35
Schroder Capital Renta Fija Dolares - Clase B,0.52
SMSV Renta en Dolares - Clase A,1.6
SMSV Renta en Dolares - Clase B,1.5
SMSV Renta en Dolares - Clase C,1
Superfondo Renta Fija Dólares - Clase G,0
Superfondo Renta Fija Dólares - Clase L,0
BAVSA Deuda Privada Argentina USD - Clase A,1.5
BAVSA Deuda Privada Argentina USD - Clase B,1.5
BAVSA Deuda Privada Argentina USD - Clase C,0.3
BAVSA Deuda Privada Argentina USD - Clase D Ley N° 27.743,1
BAVSA Global Dólar - Clase A,0.7
BAVSA Global Dólar - Clase B,1.2
BAVSA Global Dólar - Clase C,1.4
BAVSA Renta Balanceado Dólares IV - Clase A,0.6
BAVSA Renta Balanceado Dólares IV - Clase B,1.25
BAVSA Renta Balanceado Dólares IV - Clase C,2.25
Consultatio Estrategia I - Clase A,0.5
Consultatio Estrategia I - Clase B,0.5
Consultatio Estrategia I - Clase C,0.5
Consultatio Estrategia I - Clase D,0.5
Consultatio Estrategia I - Clase E,0.5
Consultatio Estrategia II - Clase A,0.7
Consultatio Estrategia II - Clase B,0.7
Consultatio Estrategia II - Clase C,0.6
Consultatio Estrategia II - Clase D,0.5
Consultatio Estrategia II - Clase E,0.35
Consultatio Estrategia III - Clase A,1.5
Consultatio Estrategia III - Clase B,1.5
Consultatio Estrategia III - Clase C,1
Consultatio Estrategia III - Clase D,0.75
Consultatio Estrategia III - Clase E,0.5
Consultatio Estrategia IV - Clase A,0.2351
Consultatio Estrategia IV - Clase B,0.2351
Consultatio Estrategia IV - Clase C,0.2351
Consultatio Estrategia IV - Clase D,0
Consultatio Estrategia IV - Clase E,0
Consultatio Estrategia V - Clase A,0
Consultatio Estrategia V - Clase B,0
Consultatio Estrategia V - Clase C,0
Consultatio Estrategia V - Clase D,0
Consultatio Estrategia V - Clase E,0
Delta Federal I - Clase F,3
Delta Federal I - Clase G,2
Delta Gestion IX - Clase G,1.8
Delta Gestion IX - Clase J,1.8
Delta Moneda - Clase F,3
Delta Moneda - Clase G,2.25
Delta Renta - Clase F,3.25
Delta Renta - Clase G,2.75
Delta Renta Dolares - Clase A,1.5
Delta Renta Dolares - Clase B,1.25
Delta Renta Dolares - Clase D,1.5
Delta Renta Dolares - Clase E,1.25
Delta Renta Dolares - Clase K Ley Nº 27.743,1.5
Delta Renta Dolares - Clase L Ley Nº 27.743,1.25
Gainvest Estrategia IV - Clase A,1.4
Gainvest Estrategia IV - Clase B,1.4
IEB Estratégico - Clase A,0.7
IEB Estratégico - Clase B,1
IEB Estratégico - Clase Ley N° 27.743,0.7
Novus Ahorro Dólares - Clase A,0.95
Novus Ahorro Dólares - Clase B,0.85
Novus Ahorro Dólares - Clase C,0.85
Novus Capital - Clase A,1.5
Novus Capital - Clase B,1.5
Novus Capital - Clase C,1.5
Novus Capital - Clase D Ley N° 27.743,1.5
Novus Income Dólares - Clase A,0
Novus Income Dólares - Clase B,0
Novus Income Dólares - Clase C,0
Novus Income Dólares - Clase D Ley N° 27.743,0
Novus Renta Dólar - Clase A,0.85
Novus Renta Dólar - Clase B,0.85
Novus Renta Dólar - Clase C,0.85
Novus Renta Dólar - Clase D Ley N° 27.743,0.85
Pellegrini Renta Dólares - Clase A,0.55
Pellegrini Renta Dólares - Clase B,0.45
Pellegrini Renta Dólares - Clase C,0.4
Pellegrini Renta Dólares - Clase R Ley N° 27.743,0.55
Superfondo Estrategico - Clase K Ley N° 27.743,0.2494
1810 Renta Dólar - Clase A,0.05
Allaria Dólar Global - Clase A,1.25
Allaria Dólar Global - Clase B,1
Allaria Dólar Global - Clase C,0.9
Allaria Dólar Global - Clase D Art. 11 Decreto 99/2019 y mod,1.02
Allaria Dólar Global - Clase Ley Nº 27.743,1
Allaria Unicred Dólares - Clase A,1
Allaria Unicred Dólares - Clase B,1
Allaria Unicred Dólares - Clase C,0
Allaria Unicred Dólares - Clase Ley N° 27.743,1
Alpha Renta Capital Dólar - Clase A,1.859
Alpha Renta Capital Dólar - Clase B,2.881
Alpha Renta Capital Dólar - Clase C,2.951
Alpha Renta Capital Dólar - Clase D,2.314
Alpha Renta Capital Dólar - Clase H,3.224
Alpha Renta Capital Dólar - Clase I,1.859
Alpha Renta Capital Dólar - Clase Q Ley N° 27.743,3.224
Alpha Renta Cobertura - Clase R Art. 11 Decreto 99/2019 y mod,2.18
Alpha Renta Fija Global - Clase A,0.634
Alpha Renta Fija Global - Clase B,0.815
Alpha Renta Fija Global - Clase I,0.9061
Alpha Renta Fija Global - Clase Q Ley N° 27.743,0.6339
Alpha Renta Fija Serie 6 - Clase R Art. 11 Decreto 99/2019 y mod,8.696
Balanz Capital Estrategia I USD - Clase A,0.5
Balanz Capital Estrategia I USD - Clase B,0.5
Balanz Capital Estrategia I USD - Clase C,0.5
Balanz Capital Estrategia I USD - Clase D,0.5
Balanz Capital Estrategia I USD - Clase L Ley Nº 27.743,0.5
Balanz Capital Estrategia II USD - Clase A,1
Balanz Capital Estrategia II USD - Clase B,1
Balanz Capital Estrategia II USD - Clase C,1
Balanz Capital Estrategia II USD - Clase D,1
Balanz Capital Estrategia II USD - Clase E,1
Balanz Capital Estrategia II USD - Clase F,1
Balanz Capital Estrategia II USD - Clase L Ley Nº 27.743,1
Balanz Capital Estrategia III USD - Clase A,1.3
Balanz Capital Estrategia III USD - Clase B,1
Balanz Capital Estrategia III USD - Clase C,0.9
Balanz Capital Estrategia III USD - Clase D,0
Balanz Capital Estrategia III USD - Clase E,0
Balanz Capital Estrategia III USD - Clase F,0
Balanz Capital Estrategia III USD - Clase L Ley N° 27.743,1.3
Balanz Capital Estrategia IV USD - Clase A,0.75
Balanz Capital Estrategia IV USD - Clase B,0.75
Balanz Capital Estrategia IV USD - Clase C,0.75
Balanz Capital Estrategia IV USD - Clase D,0.75
Balanz Capital Estrategia IV USD - Clase E,0.75
Balanz Capital Estrategia IV USD - Clase F,0.75
Balanz Capital Estrategia V USD - Clase A,0.229
Balanz Capital Estrategia V USD - Clase B,0.229
Balanz Capital Estrategia V USD - Clase C,0.229
Balanz Capital Estrategia V USD - Clase D,0.229
Balanz Capital Estrategia V USD - Clase E,0.229
Balanz Capital Estrategia V USD - Clase F,0.229
Balanz Performance IV - Clase E,5
Balanz Performance XIII - Clase E,0
Cocos Dólares Plus - Clase A,2
Cocos Dólares Plus - Clase B,2
Cocos Dólares Plus - Clase Ley N° 27.743,1.75
Compass Renta Fija III - Clase D,3.25
Compass Renta Fija III - Clase E,2.15
Compass Renta Fija III - Clase F,1.8
Dracma Estrategia Dólar - Clase A,1.25
Dracma Estrategia Dólar - Clase B,1.25
Dracma Estrategia Dólar - Clase E Ley N° 27.743,1.27
Galileo Ahorro Plus - Clase C,1.75
Galileo Ahorro Plus - Clase D,1.25
IEB Renta Fija - Clase D,0.95
IEB Renta Fija - Clase E,0.95
IEB Renta Fija - Clase F,0
IEB Renta Fija Dólar - Clase A,0.75
IEB Renta Fija Dólar - Clase B,1.25
IEB Renta Fija Dólar - Clase C,0.65
IEB Renta Fija Dólar - Clase Ley N° 27.743,0.75
MAF Renta - Clase D,2.25
MAF Renta - Clase E,2.25
Pionero Dólar Gestión - Clase A,0.675
Pionero Dólar Gestión - Clase B,0.675
Pionero Dólar Gestión - Clase C Ley N° 27.743,0
Pionero Renta Dólar Estrategia - Clase A,1.35
Pionero Renta Dólar Estrategia - Clase B,0.99
Pionero Renta Dólar Estrategia - Clase C Ley Nº 27.743,0.63
Pionero Renta Fija Dólares - Clase A,0.92
Pionero Renta Fija Dólares - Clase B,0.47
Pionero Renta Fija Dólares - Clase C Ley N° 27.743,1.368
Premier Performance Dólares - Clase A,0.828
Premier Performance Dólares - Clase B,1.012
Premier Performance Dólares - Clase C,0.506
Premier Performance Dólares - Clase Ley Nº 27.743,1.012
Premier Renta Mixta en Dólares - Clase A,0.828
Premier Renta Mixta en Dólares - Clase B,1.104
Premier Renta Mixta en Dólares - Clase C,0.69
Premier Renta Mixta en Dólares - Clase Ley N° 27.743,1.104
SBS Dólar Plus Ley 27260 - Clase B,0.2
SBS Dólar Plus Ley 27260 - Clase C,0.5
SBS Dólar Plus Ley 27260 - Clase Ley N° 27.743,0.5
1822 Raices Dólares Plus - Clase A,0.4
1822 Raices Dólares Plus - Clase B Art. 11 Decreto 99/2019 y mod,0.4
1822 Raices Dólares Plus - Clase B Ley N° 27.743,0.4
1822 Raices Renta en Dolares - Clase A,0.65
1822 Raices Renta Fija Internacional - Clase A,0.4
Adcap Cima Ahorro - Clase C,2.75
Adcap Divisas I - Clase D,0
Adcap Divisas I - Clase E,0
Adcap Divisas I - Clase F,0
Adcap Patrimonio I - Clase D,0
Adcap Patrimonio I - Clase E,0
Adcap Patrimonio I - Clase F,0
Allaria Dolar Crecimiento - Clase A,1
Allaria Dolar Crecimiento - Clase B,0.9
Allaria Dolar Crecimiento - Clase C,0.9
Allaria Dolar Crecimiento - Clase D,0
Allaria Dolar Crecimiento - Clase Ley Nº 27.743,1
Allaria Dólar Dinámico  - Clase A,1.25
Allaria Dólar Dinámico - Clase B,1
Allaria Dólar Dinámico - Clase C,0.9
Allaria Dólar Dinámico - Clase Ley Nº 27.743,1.25
Allaria Dólar Gestión - Clase A,0
Allaria Dólar Gestión - Clase B,0
Allaria Dólar Gestión - Clase C,0
Allaria Dólar Gestión - Clase D,0
Allaria Dólar Gestión - Clase Ley N° 27.743,0
Allaria Dólar Performance - Clase A,0
Allaria Dólar Performance - Clase B,0
Allaria Dólar Performance - Clase C,0
Allaria Dólar Renta Internacional - Clase A,0.7
Allaria Dólar Renta Internacional - Clase B,0.7
Allaria Dólar Renta Internacional - Clase C,0.7
Allaria Dólar Renta Internacional - Clase D,0
Alpha Renta Capital - Clase R Art. 11 Decreto 99/2019 y mod,3.035
Alpha Renta Fija Corporativa Dólar - Clase I,0.461
Argenfunds Renta Argentina - Clase C,0.4491
Argenfunds Renta Argentina - Clase D,0.4491
Argenfunds Renta Argentina - Clase E,1
Argenfunds Renta Argentina - Clase F,1
Argenfunds Renta Balanceada - Clase C,3
Argenfunds Renta Balanceada - Clase D,3
Argenfunds Renta Crecimiento - Clase A,0.25
Argenfunds Renta Crecimiento - Clase B,2.5
Argenfunds Renta Crecimiento - Clase C,1.5
Argenfunds Renta Crecimiento - Clase D,0.25
Argenfunds Renta Dinamica - Clase C,0.441
Argenfunds Renta Dinamica - Clase D,0.441
Argenfunds Renta Fija - Clase C,3.25
Argenfunds Renta Fija - Clase D,3.25
Argenfunds Renta Fija - Clase E,0
Argenfunds Renta Fija - Clase F,0
Argenfunds Renta Global - Clase C,3
Argenfunds Renta Global - Clase D,3
Argenfunds Renta Mixta - Clase C,3.25
Argenfunds Renta Mixta - Clase D,3.25
Argenfunds Renta Pesos - Clase C,0.5491
Argenfunds Renta Pesos - Clase D,0.5491
Argenfunds Renta Total - Clase C,2
Argenfunds Renta Total - Clase D,2
Argenfunds Renta Total - Clase E,2
Argenfunds Renta Total - Clase F,2
Axis S&C Renta Fija Dolar - Clase A,1.25
Axis S&C Renta Fija Dolar - Clase B,1.25
Axis S&C Renta Fija Dolar - Clase E,1.25
Axis S&C Renta Fija Dolar - Clase F,1.25
Axis S&C Renta Fija Dolar - Clase X Ley N° 27.743,1.25
Axis S&C Renta Fija Dolar - Clase Y Ley N° 27.743,1.25
Balanz Ahorro en Dólares - Clase A,1.2
Balanz Ahorro en Dólares - Clase B,0.85
Balanz Ahorro en Dólares - Clase C,0.75
Balanz Ahorro en Dólares - Clase D,0.5
Balanz Ahorro en Dólares - Clase E,1.2
Balanz Ahorro en Dólares - Clase F,0.85
Balanz Ahorro en Dólares - Clase G,1.23
Balanz Ahorro en Dólares - Clase H Art. 11 Decreto 99/2019 y mod,0.55
Balanz Ahorro en Dólares - Clase L Ley Nº 27.743,1.2
Balanz Capital Renta Fija en Dólares - Clase A,1.2
Balanz Capital Renta Fija en Dólares - Clase B,0.83
Balanz Capital Renta Fija en Dólares - Clase C,0.83
Balanz Capital Renta Fija en Dólares - Clase D,0.73
Balanz Capital Renta Fija en Dólares - Clase E,1.2
Balanz Capital Renta Fija en Dólares - Clase F,0.83
Balanz Capital Renta Fija en Dólares - Clase G,3.03
Balanz Capital Renta Fija en Dólares - Clase L Ley Nº 27.743,1.2
Balanz Performance III - Clase E,2.15
Balanz Performance III - Clase F,0
BAVSA Renta Dólares - Clase A,1.5
BAVSA Renta Dólares - Clase B,1.5
BAVSA Renta Dólares - Clase C,1.25
BAVSA Renta Dólares - Clase D Ley Nº 27.743,1.5
Bull Market Ahorro Dólares - Clase A,1.5
