Fondo,Honorarios Adm. SG
Balanz Soja - Clase E,0
Balanz Soja - Clase F,0
Chimpay Agresivo - Clase D,3.75
Chimpay Agresivo - Clase E,3
Chimpay Agresivo - Clase F,2.5
Compass Crecimiento - Clase D,3.9
Compass Crecimiento - Clase E,2.4
Compass Crecimiento - Clase F,1.5
Compass Crecimiento II - Clase D,1.5
Compass Crecimiento II - Clase E,1.5
Compass Crecimiento II - Clase F,1.5
Delta Acciones - Clase F,3.9
Delta Acciones - Clase G,2.2
Delta Recursos Naturales - Clase F,3.9
Delta Recursos Naturales - Clase G,2.5
Delta Select - Clase F,3.9
Delta Select - Clase G,2
Galileo Acciones - Clase C,2.5
Galileo Acciones - Clase D,1.5
IEB Value - Clase D,3.5
IEB Value - Clase E,2
IEB Value - Clase F,1.5
Superfondo Renta Variable - Clase G,0
Superfondo Renta Variable - Clase L,0
Superfondo Acciones Brasil - Clase A,0.966
Superfondo Acciones Brasil - Clase B,1.036
Balanz Renta Variable Global - Clase A,1.5
Balanz Renta Variable Global - Clase B,1.5
Delta Internacional - Clase F,3.9
Delta Internacional - Clase G,2.5
Alpha Latam - Clase A,2.7007
Alpha Latam - Clase B,4.5649
Alpha Latam - Clase C,4.68
Alpha Latam - Clase D,4.043
Alpha Latam - Clase H,4.953
Alpha Latam - Clase I,2.7007
Alpha Latam - Clase Q Ley N° 27.743,4.953
Compass Renta Mixta Dólares - Clase H Ley N° 27.743,2.25
Fima Acciones Latinoamerica - Clase A,1.9125
Fima Acciones Latinoamerica - Clase B,1.7
Fima Acciones Latinoamerica - Clase C,1.4875
Superfondo Latinoamerica - Clase A,0.966
Superfondo Latinoamerica - Clase B,1.036
Renta Fija Peso Argentina,nan
1810 Mas Ahorro,0.05
1822 Raices Ahorro Plus - Clase A,1.8
1822 Raices Valores Fiduciarios,1.7
Adcap Balanceado I - Clase A,3.52
Adcap Balanceado I - Clase B,3.52
Adcap Balanceado VI - Clase A,2.77
Adcap Balanceado VI - Clase B,0.82
Adcap Balanceado VI - Clase C,0.8
Adcap Balanceado VI - Clase D,1.75
Adcap Balanceado VI - Clase E,1.75
Adcap Balanceado VI - Clase Ley Nº 27.743,0
Adcap Cobertura - Clase A,2.77
Adcap Cobertura - Clase B,2.22
Adcap Cobertura - Clase C,1.87
Adcap Cobertura - Clase Ley Nº 27.743,2.75
Adcap Financiamiento Megra - Clase A,1.52
Adcap Financiamiento Megra - Clase B,1.52
Adcap Financiamiento Megra - Clase Ley N° 27.743,1.02
Adcap Moneda - Clase A,2.77
Adcap Moneda - Clase B,2.22
Adcap Moneda - Clase C,1.92
Adcap Moneda - Clase Ley Nº 27.743,2.75
Adcap Pesos Plus - Clase A,2.77
Adcap Pesos Plus - Clase B,2.12
Adcap Pesos Plus - Clase C,1.82
Adcap Pesos Plus - Clase Ley Nº 27.743,2.77
Alamerica Renta Fija Argentina - Clase A,0
Alamerica Renta Fija Argentina - Clase B,0
Alamerica Renta Fija Argentina - Clase C,0
Alamerica Renta Fija Argentina - Clase G,0.6
Alamerica Renta Fija Argentina - Clase I,0
Alianza de Capitales,1.25
Allaria Ahorro Plus - Clase A,2.5
Allaria Ahorro Plus - Clase B,2.25
Allaria Ahorro Plus - Clase C,2.02
Allaria Ahorro Plus - Clase D,1.8
Allaria Ahorro Plus - Clase Ley Nº 27.743,2.5
Allaria Dinámico III - Clase A,2.5
Allaria Dinámico III - Clase B,2.25
Allaria Dinámico III - Clase C,2.02
Allaria Dinámico IV - Clase A,0
Allaria Dinámico IV - Clase B,1.1048
Allaria Dinámico IV - Clase C,1.1048
Allaria Renta Balanceada II - Clase A,1.25
Allaria Renta Balanceada II - Clase B,1.25
Allaria Renta Balanceada II - Clase C,1.25
Alpha Ahorro - Clase A,2.1638
Alpha Ahorro - Clase B,2.8344
Alpha Ahorro - Clase C,2.8344
Alpha Ahorro - Clase J,2.1638
Alpha Ahorro - Clase K,2.8364
Alpha Ahorro - Clase Q Ley N° 27.743,2.8344
Argenfunds Ahorro Pesos - Clase A,3
Argenfunds Ahorro Pesos - Clase B,1.8991
Argenfunds Renta Capital - Clase E,1.9
Argenfunds Renta Capital - Clase F,1.9
Argenfunds Renta Flexible - Clase A,2
Argenfunds Renta Flexible - Clase B,2
Arpenta Ahorro Pesos,4
Balanz Capital Ahorro - Clase A,2.55
Balanz Capital Ahorro - Clase B,2.15
Balanz Capital Ahorro - Clase C,1.7
Balanz Capital Ahorro - Clase D,1.65
Balanz Capital Ahorro - Clase E,2.19
Balanz Capital Ahorro - Clase F,1.74
Balanz Capital Ahorro - Clase G,2.19
Balanz Capital Ahorro - Clase L Ley Nº 27.743,2.55
Balanz Opportunity - Clase A,2.6
Balanz Opportunity - Clase B,2.6
Balanz Opportunity - Clase C,2.1
Balanz Opportunity - Clase D,2.1
Balanz Opportunity - Clase E,2.19
Balanz Opportunity - Clase F,1.59
Balanz Opportunity - Clase G,2.19
