boleto,concertacion,id_cuenta,denominacion,mercado,moneda,operacion,tipo_operacion,instrumento,segmento,nivel_3,etapa,es_cierre,cantidad_ops,bruto,arancel,mep,estado_match,n_movimientos,tasa_pct,tasa_raw,cod_instrumento,nominal_info,nm_fecha,nm_ticker,nm_categoria,nm_op,nm_cantidad,nm_precio,nm_importe,nm_moneda,nm_plazo,nm_estado,nm_cuenta,nm_informacion,nm_cantidad_total_boleto,nm_importe_total_boleto
BOL 2026031712,2026-03-03,437,SANCHEZ MARIO ALBERTO Y SANCHEZ JOSE DAVID SH,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*ARP220800213] *ARP220800213 Nro. 1894 Vto. 26/08/2026,PRODUCTORES,PJ GRANDE,,NO,15000000,12951452.75,71917.81,1434.78,OK,1,32.99,"32,99",*ARP220800213,15000000.0,2026-03-03,,otro,,-15000000,,12855029.45,ARS,,DIS,[437] SANCHEZ MARIO ALBERTO Y SANCHEZ JOSE DAVID SH,"Subasta [*ARP220800213] 15.000.000,00@32,99% (ARS 24hs)",-15000000,12855029.45
BOL 2026030208,2026-02-27,991,FCI GAINVEST PYMES,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*ACI250300289] *ACI250300289 Nro. 3027 Vto. 27/03/2026,INSTITUCIONALES,PJ GRANDE,,NO,35545924.29,34877049.37,4869.3,1421.71,OK,1,28.0,28,*ACI250300289,35545924.29,2026-02-27,,otro,,35545924.29,,-9408.62000000477,ARS,,DIS,[991] FCI GAINVEST PYMES,"Compra [*ACI250300289] 35.545.924,29@28% (ARS 24hs)",35545924.29,-9408.62000000477
BOL 2026030209,2026-02-27,188,COMPAÑIA ANGLO DE CÓRDOBA DE TIERRAS S.A,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*ACI250300289] *ACI250300289 Nro. 3027 Vto. 27/03/2026,PRODUCTORES,PJ PEQUEÑA,,NO,35545924.29,34877049.37,24346.52,1421.71,OK,1,28.0,28,*ACI250300289,35545924.29,2026-02-27,,otro,,-35545924.29,,34840556.54,ARS,,DIS,[188] COMPAÑIA ANGLO DE CÓRDOBA DE TIERRAS S.A ,"Subasta [*ACI250300289] 35.545.924,29@28% (ARS 24hs)",-35545924.29,34840556.54
BOL 2026026339,2026-02-20,1840,LA MAGDALENA S.H,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CUY250500008] *CUY250500008 Nro. 52 Vto. 28/05/2026,PRODUCTORES,PJ PEQUEÑA,,NO,60000000,55433130.18,154520.55,1401.52,OK,1,31.99,"31,99",*CUY250500008,60000000.0,2026-02-20,,otro,,-60000000,,55205915.86,ARS,,DIS,[1840] LA MAGDALENA S.H,"Subasta [*CUY250500008] 60.000.000,00@31,99% (ARS 24hs)",-60000000,55205915.86
BOL 2026023957,2026-02-18,1812,FCI Adcap Financiamiento Abierto Pymes,MAV,ARS,Compras ECHEQ,ECHEQ - Compra,[*CUY250300035] *CUY250300035 Nro. 51 Vto. 27/03/2026,INSTITUCIONALES,PJ GRANDE,,NO,60000000,58000953.44,60821.92,1411.95,OK,1,34.0,34,*CUY250300035,60000000.0,2026-02-18,,otro,,60000000,,-58083203.63,ARS,,DIS,[1812] FCI Adcap Financiamiento Abierto Pymes,"Compra [*CUY250300035] 60.000.000,00@34% (ARS Inm)",60000000,-58083203.63
BOL 2026023958,2026-02-18,1840,LA MAGDALENA S.H,MAV,ARS,Subastas ECHEQ,ECHEQ - Subasta,[*CUY250300035] *CUY250300035 Nro. 51 Vto. 27/03/2026,PRODUCTORES,PJ PEQUEÑA,,NO,60000000,58000953.44,60821.92,1411.95,OK,1,34.0,34,*CUY250300035,60000000.0,2026-02-18,,otro,,-60000000,,57910047.57,ARS,,DIS,[1840] LA MAGDALENA S.H,"Subasta [*CUY250300035] 60.000.000,00@34% (ARS Inm)",-60000000,57910047.57
BOL 2026021848,2026-02-10,194,COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UPO300660011] #UPO300660011 Nro. 138761 Vto. 02/07/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,138069472.4,384893.2,1431.94,OK,1,8.0,8,#UPO300660011,100000.0,2026-02-10,,otro,,100000,,-138585312.4,ARS,,DIS,[194] COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,"Compra [#UPO300660011] 100.000,00@8% (ARS 24hs)",100000,-138585312.4
BOL 2026020099,2026-02-06,194,COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCC290560001] #UCC290560001 Nro. 139099 Vto. 02/06/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141416394.8,321601.88,1446.15,OK,1,7.0,7,#UCC290560001,100000.0,2026-02-06,,otro,,100000,,-141856867.22,ARS,,DIS,[194] COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,"Compra [#UCC290560001] 100.000,00@7% (ARS Inm)",100000,-141856867.22
BOL 2026020100,2026-02-06,201,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCC250560001] #UCC250560001 Nro. 139098 Vto. 28/05/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141549160.9,439628.18,1446.15,OK,1,7.0,7,#UCC250560001,100000.0,2026-02-06,,otro,,-100000,,140914446.12,ARS,,DIS,[201] COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,"Subasta [#UCC250560001] 100.000,00@7% (ARS Inm)",-100000,140914446.12
BOL 2026020101,2026-02-06,201,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCC290560001] #UCC290560001 Nro. 139099 Vto. 02/06/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141416394.8,459431.25,1446.15,OK,1,7.0,7,#UCC290560001,100000.0,2026-02-06,,otro,,-100000,,140757814.68,ARS,,DIS,[201] COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,"Subasta [#UCC290560001] 100.000,00@7% (ARS Inm)",-100000,140757814.68
BOL 2026020102,2026-02-06,201,COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,MAV,ARS,Subasta Pagares,Pagarés - Subasta,[#UCC150560001] #UCC150560001 Nro. 139097 Vto. 19/05/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141788802.1,403982.65,1446.15,OK,1,7.0,7,#UCC150560001,100000.0,2026-02-06,,otro,,-100000,,141197044.37,ARS,,DIS,[201] COOPERATIVA AGRICOLA GANADERA LIMITADA DE ELENA,"Subasta [#UCC150560001] 100.000,00@7% (ARS Inm)",-100000,141197044.37
BOL 2026020103,2026-02-06,194,COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCC150560001] #UCC150560001 Nro. 139097 Vto. 19/05/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141788802.1,282787.86,1446.15,OK,1,7.0,7,#UCC150560001,100000.0,2026-02-06,,otro,,100000,,-142182444.69,ARS,,DIS,[194] COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,"Compra [#UCC150560001] 100.000,00@7% (ARS Inm)",100000,-142182444.69
BOL 2026020104,2026-02-06,194,COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,MAV,ARS,Compras Pagares,Pagarés - Compra,[#UCC250560001] #UCC250560001 Nro. 139098 Vto. 28/05/2026,COOPERATIVAS,PJ GRANDE,,NO,100000,141549160.9,307739.73,1446.15,OK,1,7.0,7,#UCC250560001,100000.0,2026-02-06,,otro,,100000,,-141972908.34,ARS,,DIS,[194] COOPERATIVA AGROPECUARIA UNION DE JUSTINIANO POSSE LTDA,"Compra [#UCC250560001] 100.000,00@7% (ARS Inm)",100000,-141972908.34
